id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
13,Activity F,2023-11-28 10:34:17.405995,2023-11-28 10:34:17.405995,2023-11-28 10:35:47.302265,R5,R5,89,89,88,2,[],1.0,89.89626968585326,"['Activity E', 'Activity F']",{},{}
15,Activity F,2023-11-28 10:35:47.302265,2023-11-28 10:35:47.302265,2023-11-28 10:36:36.544072,R5,R5,87,87,87,2,[],1.0,49.24180690656327,"['Activity E', 'Activity F']",{},{}
14,Activity F,2023-11-28 10:35:10.197010,2023-11-28 10:35:10.197010,2023-11-28 10:37:11.451330,R6,R6,88,88,86,2,[],1.0,121.25431969840184,"['Activity E', 'Activity F']",{},{}
16,Activity F,2023-11-28 10:36:36.544072,2023-11-28 10:36:36.544072,2023-11-28 10:38:04.065208,R5,R5,86,86,85,2,[],1.0,87.52113575086818,"['Activity E', 'Activity F']",{},{}
18,Activity F,2023-11-28 10:38:04.065208,2023-11-28 10:38:04.065208,2023-11-28 10:39:16.868114,R5,R5,84,84,84,2,[],1.0,72.80290680591686,"['Activity E', 'Activity F']",{},{}
19,Activity F,2023-11-28 10:39:16.868114,2023-11-28 10:39:16.868114,2023-11-28 10:41:26.189422,R5,R5,83,83,83,2,[],1.0,129.32130780393308,"['Activity E', 'Activity F']",{},{}
20,Activity F,2023-11-28 10:41:26.189422,2023-11-28 10:41:26.189422,2023-11-28 10:44:05.764486,R5,R5,82,82,82,2,[],1.0,159.57506353880842,"['Activity E', 'Activity F']",{},{}
17,Activity F,2023-11-28 10:37:11.451330,2023-11-28 10:37:11.451330,2023-11-28 10:44:45.031929,R6,R6,85,85,81,2,[],1.0,453.58059908065064,"['Activity E', 'Activity F']",{},{}
11,Activity F,2023-11-28 10:44:05.764486,2023-11-28 10:44:05.764486,2023-11-28 10:45:16.892642,R5,R5,81,81,80,2,[],1.0,71.12815601407024,"['Activity E', 'Activity F']",{},{}
21,Activity F,2023-11-28 10:45:16.892642,2023-11-28 10:45:16.892642,2023-11-28 10:45:24.685745,R5,R5,79,79,79,2,[],1.0,7.793103196097565,"['Activity E', 'Activity F']",{},{}
23,Activity F,2023-11-28 10:45:24.685745,2023-11-28 10:45:24.685745,2023-11-28 10:46:26.652610,R5,R5,78,78,78,2,[],1.0,61.96686491598661,"['Activity E', 'Activity F']",{},{}
22,Activity F,2023-11-28 10:44:45.031929,2023-11-28 10:44:45.031929,2023-11-28 10:47:07.208541,R6,R6,80,80,77,2,[],1.0,142.17661263537687,"['Activity E', 'Activity F']",{},{}
24,Activity F,2023-11-28 10:46:26.652610,2023-11-28 10:46:26.652610,2023-11-28 10:47:09.929284,R5,R5,77,77,76,2,[],1.0,43.27667425506867,"['Activity E', 'Activity F']",{},{}
27,Activity F,2023-11-28 10:47:09.929284,2023-11-28 10:47:09.929284,2023-11-28 10:48:46.524505,R5,R5,75,75,75,2,[],1.0,96.59522126375347,"['Activity E', 'Activity F']",{},{}
26,Activity F,2023-11-28 10:48:46.524505,2023-11-28 10:48:46.524505,2023-11-28 10:50:00.748964,R5,R5,74,74,74,2,[],1.0,74.2244588039165,"['Activity E', 'Activity F']",{},{}
29,Activity F,2023-11-28 10:50:00.748964,2023-11-28 10:50:00.748964,2023-11-28 10:51:24.758445,R5,R5,73,73,73,2,[],1.0,84.00948066263385,"['Activity E', 'Activity F']",{},{}
28,Activity F,2023-11-28 10:51:24.758445,2023-11-28 10:51:24.758445,2023-11-28 10:51:39.286836,R5,R5,72,72,72,2,[],1.0,14.528390786672565,"['Activity E', 'Activity F']",{},{}
30,Activity F,2023-11-28 10:51:39.286836,2023-11-28 10:51:39.286836,2023-11-28 10:52:04.016350,R5,R5,71,71,71,2,[],1.0,24.729514590864557,"['Activity E', 'Activity F']",{},{}
32,Activity F,2023-11-28 10:52:04.016350,2023-11-28 10:52:04.016350,2023-11-28 10:52:44.364935,R5,R5,70,70,70,2,[],1.0,40.34858489167437,"['Activity E', 'Activity F']",{},{}
